local code,text,table_name,parent_varname,local code system,code,display,code system,comment
Psychiatric Disorders,Psychiatric Disorders,condition,MONDO Code,condition_description,0002025,psychiatric disorder,http://purl.obolibrary.org/obo/mondo.owl,
Cataracts,Cataracts,condition,MONDO Code,condition_description,0005129,cataract,http://purl.obolibrary.org/obo/mondo.owl,
Alopecia areata,Alopecia areata,condition,MONDO Code,condition_description,0005340,alopecia areata,http://purl.obolibrary.org/obo/mondo.owl,
Overweight and Obesity,Overweight and Obesity,condition,HPO Code,condition_description,0001513,Obesity,http://purl.obolibrary.org/obo/hp.owl,
Overweight and Obesity,Overweight and Obesity,condition,MONDO Code,condition_description,0011122,obesity disorder,http://purl.obolibrary.org/obo/mondo.owl,
Cerebrovascular diseases,Cerebrovascular diseases,condition,MONDO Code,condition_description,0011057,"stroke disorder, cerebrovascular disorder",http://purl.obolibrary.org/obo/mondo.owl,
Cerebrovascular diseases,Cerebrovascular diseases,condition,MONDO Code,condition_description,0005098,"stroke disorder, cerebrovascular disorder",http://purl.obolibrary.org/obo/mondo.owl,
ADD or ADHD,ADD or ADHD,condition,MONDO Code,condition_description,0005302,"attention deficit hyperactivity disorder, inattentive type",http://purl.obolibrary.org/obo/mondo.owl,
Specify other neuro condition,Specify other neuro condition,condition,MONDO Code,condition_description,0005071,nervous system disorder,http://purl.obolibrary.org/obo/mondo.owl,
Lichen planus,Lichen planus,condition,MONDO Code,condition_description,0006572,lichen planus,http://purl.obolibrary.org/obo/mondo.owl,
Acute kidney failure,Acute kidney failure,condition,MONDO Code,condition_description,0002492,acute kidney failure,http://purl.obolibrary.org/obo/mondo.owl,
Allergic rhinitis,Allergic rhinitis,condition,MONDO Code,condition_description,0011786,allergic rhinitis,http://purl.obolibrary.org/obo/mondo.owl,
PFO,PFO,condition,MONDO Code,condition_description,0020439,patent foramen ovale,http://purl.obolibrary.org/obo/mondo.owl,
Mixed receptive-expressive language disorder,Mixed receptive-expressive language disorder,condition,MONDO Code,condition_description,0001568,mixed receptive-expressive language disorder,http://purl.obolibrary.org/obo/mondo.owl,
Constipation,Constipation,condition,MONDO Code,condition_description,0002203,constipation disorder,http://purl.obolibrary.org/obo/mondo.owl,
Osteoarthritis,Osteoarthritis,condition,MONDO Code,condition_description,0005178,osteoarthritis,http://purl.obolibrary.org/obo/mondo.owl,
Please specify other CHD,Please specify other CHD,condition,MONDO Code,condition_description,0005453,congenital heart disease,http://purl.obolibrary.org/obo/mondo.owl,
Osteoporosis,Osteoporosis,condition,MONDO Code,condition_description,0005298,osteoporosis,http://purl.obolibrary.org/obo/mondo.owl,
Arthropathy,Arthropathy,condition,MONDO Code,condition_description,0006816,arthropathy,http://purl.obolibrary.org/obo/mondo.owl,
Chronic UTI,Chronic UTI,condition,HPO Code,condition_description,0000010,Recurrent urinary tract infections,http://purl.obolibrary.org/obo/hp.owl,
Atopic dermatitis/eczema,Atopic dermatitis/eczema,condition,MONDO Code,condition_description,0004980,atopic eczema,http://purl.obolibrary.org/obo/mondo.owl,
Acute sinusitis,Acute sinusitis,condition,HPO Code,condition_description,0000255,Acute sinusitis,http://purl.obolibrary.org/obo/hp.owl,
Systemic lupus erythematosus,Systemic lupus erythematosus,condition,MONDO Code,condition_description,0007915,systemic lupus erythematosus,http://purl.obolibrary.org/obo/mondo.owl,
Restless legs syndrome,Restless legs syndrome,condition,MONDO Code,condition_description,0005391,restless legs syndrome,http://purl.obolibrary.org/obo/mondo.owl,
Moyamoya,Moyamoya,condition,MONDO Code,condition_description,0016820,Moyamoya disease,http://purl.obolibrary.org/obo/mondo.owl,
Phimosis,Phimosis,condition,MONDO Code,condition_description,0006904,phimosis,http://purl.obolibrary.org/obo/mondo.owl,
Hashimoto's thyroiditis,Hashimoto's thyroiditis,condition,MONDO Code,condition_description,0007699,Hashimoto thyroiditis,http://purl.obolibrary.org/obo/mondo.owl,
Down syndrome diagnosis,Down syndrome diagnosis,condition,MONDO Code,condition_description,0008608,Down syndrome,http://purl.obolibrary.org/obo/mondo.owl,
Specify other endocrine condition,Specify other endocrine condition,condition,MONDO Code,condition_description,0005151,endocrine system disorder,http://purl.obolibrary.org/obo/mondo.owl,
Anxiety,Anxiety,condition,MONDO Code,condition_description,0005618,anxiety disorder,http://purl.obolibrary.org/obo/mondo.owl,
Please specify other urogenital condition,Please specify other urogenital condition,condition,HPO Code,condition_description,0000119,Abnormality of the genitourinary system,http://purl.obolibrary.org/obo/hp.owl,
Recurrent sinusitis,Recurrent sinusitis,condition,MONDO Code,condition_description,0005961,sinusitis,http://purl.obolibrary.org/obo/mondo.owl,
